Altium Designer Pick and Place Locations
C:\Users\tcha\Desktop\ALPS-HPG\XPL-HPG-HW\XPLR-HPG-1\Pick Place\Pick Place for ALPS-HPG(C213_noJTAG).txt

========================================================================================================================
File Design Information:

Date:       14/02/23
Time:       14:52
Revision:   79541b5d039af1aaa745de6e03f4d4a23af433f7
Variant:    C213_noJTAG
Units used: mm

Designator Layer    Center-X(mm) Center-Y(mm) Rotation Variation    Footprint                       
R27        TopLayer 60.5600      15.2400      180      Fitted       RES_0402_HD                     
R28        TopLayer 58.8200      25.4000      0        Fitted       RES_0402_HD                     
R29        TopLayer 60.5600      25.4000      180      Fitted       RES_0402_HD                     
R30        TopLayer 58.6550      17.7800      0        Fitted       RES_0402_HD                     
R31        TopLayer 60.5600      17.7800      180      Fitted       RES_0402_HD                     
R32        TopLayer 58.6550      29.2100      0        Fitted       RES_0402_HD                     
R33        TopLayer 58.7000      24.1000      0        Fitted       RES_0402_HD                     
R34        TopLayer 51.1000      29.3000      90       Fitted       RES_0402_HD                     
R35        TopLayer 50.0700      29.3000      90       "Not Fitted" RES_0402_HD                     
R36        TopLayer 49.1050      29.3250      90       "Not Fitted" RES_0402_HD                     
R37        TopLayer 48.1000      29.3250      90       Fitted       RES_0402_HD                     
R38        TopLayer 47.1300      29.3250      90       "Not Fitted" RES_0402_HD                     
R39        TopLayer -41.3000     85.8000      270      "Not Fitted" RES_0402_HD                     
R40        TopLayer 47.5000      42.8000      90       Fitted       RES_0805_HD                     
R41        TopLayer -0.1200      69.8750      0        "Not Fitted" RES_0402_HD                     
R42        TopLayer 62.1250      73.9400      270      Fitted       RES_0603_HD                     
R43        TopLayer -0.1200      72.4250      180      Fitted       RES_0402_HD                     
R44        TopLayer -0.1200      71.5750      0        Fitted       RES_0402_HD                     
R45        TopLayer -0.9200      77.7500      180      "Not Fitted" RES_0603_HD                     
R46        TopLayer -0.9200      76.5000      180      Fitted       RES_0603_HD                     
R47        TopLayer -0.1200      70.7250      180      Fitted       RES_0402_HD                     
R48        TopLayer 61.5250      68.8650      180      Fitted       RES_0603_HD                     
R49        TopLayer 60.7750      59.6900      0        Fitted       RES_0603_HD                     
R50        TopLayer 58.3000      59.6900      180      Fitted       RES_0603_HD                     
R51        TopLayer 57.0750      73.9400      270      Fitted       RES_0603_HD                     
R52        TopLayer 57.6500      68.8900      0        Fitted       RES_0603_HD                     
R53        TopLayer -56.4000     14.9000      0        "Not Fitted" RES_0402_HD                     
R55        TopLayer -56.4000     15.8000      0        "Not Fitted" RES_0402_HD                     
R56        TopLayer 12.8000      75.6000      0        Fitted       RES_0603_HD                     
R57        TopLayer 16.0000      78.3000      180      Fitted       RES_0402_HD                     
R58        TopLayer 13.9000      72.3000      0        Fitted       RES_0603_HD                     
R59        TopLayer 16.0000      74.6000      0        Fitted       RES_0402_HD                     
R60        TopLayer 60.4677      51.9709      90       Fitted       RES_0402_HD                     
R61        TopLayer 58.5610      51.9709      90       Fitted       RES_0402_HD                     
R62        TopLayer 45.1000      42.8000      90       Fitted       RES_0805_HD                     
R63        TopLayer 45.4000      47.2000      90       Fitted       RES_0402_HD                     
R64        TopLayer 44.1000      46.8000      180      Fitted       RES_0402_HD                     
R65        TopLayer 44.7000      45.7000      0        Fitted       RES_0402_HD                     
R66        TopLayer 44.1000      47.8000      180      Fitted       RES_0402_HD                     
R69        TopLayer 49.7250      47.3750      90       Fitted       RES_0402_HD                     
R70        TopLayer 55.2441      47.0495      180      "Not Fitted" RES_0402_HD                     
R71        TopLayer 49.7250      45.7250      90       "Not Fitted" RES_0402_HD                     
R72        TopLayer 35.0000      21.2000      180      Fitted       RES_0402_HD                     
R73        TopLayer -57.6000     19.3000      90       Fitted       RES_0402_HD                     
R74        TopLayer -56.1250     21.0500      270      Fitted       RES_0402_HD                     
R75        TopLayer -49.3000     7.8000       270      "Not Fitted" RES_1206                        
R76        TopLayer 49.3000      42.8000      90       "Not Fitted" RES_0805_HD                     
R77        TopLayer 53.8000      80.3000      180      Fitted       RES_0402_HD                     
R78        TopLayer 55.5000      80.3000      180      "Not Fitted" RES_0402_HD                     
R79        TopLayer 53.8000      81.7000      180      Fitted       RES_0402_HD                     
R80        TopLayer 55.5000      81.7000      180      "Not Fitted" RES_0402_HD                     
R81        TopLayer 53.8000      83.1000      180      Fitted       RES_0402_HD                     
R82        TopLayer 55.5000      83.1000      180      "Not Fitted" RES_0402_HD                     
R83        TopLayer 53.8000      84.4000      180      Fitted       RES_0402_HD                     
R84        TopLayer 55.5000      84.4000      180      "Not Fitted" RES_0402_HD                     
R85        TopLayer 37.2500      75.9000      90       "Not Fitted" RES_0402_HD                     
R86        TopLayer 49.4000      59.6000      180      "Not Fitted" RES_0402_HD                     
R87        TopLayer 40.1000      51.6000      180      Fitted       RES_0402_HD                     
R88        TopLayer 48.8000      51.6000      180      Fitted       RES_0402_HD                     
R89        TopLayer -41.1000     72.9000      0        Fitted       RES_0402_HD                     
R90        TopLayer -42.2000     85.8000      270      Fitted       RES_0402_HD                     
R91        TopLayer -53.4000     82.4000      0        "Not Fitted" RES_0402_HD                     
R5_1       TopLayer 19.1000      78.4000      270      Fitted       RES_0402_HD                     
R5_2       TopLayer 5.9000       78.6000      270      Fitted       RES_0402_HD                     
R6_1       TopLayer 19.9000      78.4000      270      Fitted       RES_0402_HD                     
R6_2       TopLayer 6.7000       78.6000      270      Fitted       RES_0402_HD                     
R54_1      TopLayer 24.0000      84.0000      180      Fitted       RES_0402_HD                     
R54_2      TopLayer 11.1500      84.3750      180      Fitted       RES_0402_HD                     
R67_1      TopLayer 15.8250      82.4750      180      Fitted       RES_0402_HD                     
R67_2      TopLayer 2.6750       82.4500      180      Fitted       RES_0402_HD                     
R68_1      TopLayer 15.8250      83.3250      0        Fitted       RES_0402_HD                     
R68_2      TopLayer 2.6750       83.3250      0        Fitted       RES_0402_HD                     
RGB        TopLayer 27.0750      91.6000      270      Fitted       LED_1616                        
SW1        TopLayer -46.6000     90.5000      180      Fitted       OS102011MA1QN1                  
U1         TopLayer 36.7000      85.6500      90       Alternate    NORA_LGA82R_1430X1040X180_ANT   
U2         TopLayer 49.4350      68.5000      270      "Not Fitted" SON127P600X500X80-9N-D          
U4         TopLayer -55.3750     18.9000      90       Fitted       SOTFL50P180X50-6N               
U5         TopLayer 59.5000      64.0900      270      Fitted       SOP127P600X330-8N               
U6         TopLayer 59.5000      55.8000      270      Alternate    SOT95P280X145-6N                
U7         TopLayer 40.8550      47.1000      270      Fitted       FP-RNS0007A-MFG                 
U8         TopLayer 52.3000      46.1000      180      Fitted       SON95P300X300X100-7N            
U10        TopLayer 41.2200      23.2250      180      Fitted       QFN40P400X400X80-29N            
U3A        TopLayer 4.2202       73.1643      270      Fitted       FP-CP2102N-A02-GQFN24-MFG       
U9B        TopLayer -44.3000     72.9000      180      Fitted       SOT95P280X145-5N                
